species,avgbrood,avgsire,pmult,mean.q,sd.q,q2.5,q97.5,mean.nsires,sd.nsires,nsires2.5,nsires97.5,mean.nmates,sd.nmates,nmates2.5,nmates97.5,mean.estM,sd.estM,estM2.5,estM97.5,mean.est.pmult,sd.est.pmult,est.pmult2.5,est.pmult97.5,mean.avgR,sd.avgR,avgR2.5,avgR97.5,mean.avgM,sd.avgM,avgM2.5,avgM97.5,pred_pmult,pred_pmult_lcl,pred_pmult_ucl,resid_pmult,resid_pmult_lcl,resid_pmult_ucl
"Striped field mouse, Apodemus agrarius",6.5,1.8,0.636,0.305020076,0.008663275,0.288230887,0.321950548,2.013636364,1.070172348,1,4,7.6794525,5.10880163,2,21,6.606985314,3.517809559,3.143401802,13.85254225,0.704048546,0.014356857,0.675673462,0.731551055,2.188435154,0.043773185,2.104346376,2.274700222,5.906018475,0.168007585,5.590920751,6.244993454,0.712130708,0.663503698,0.758613233,0.076130708,0.027503698,0.122613233
"Yellow-necked field mouse, Apodemus flavicollis",5,1.5,0.514,0.367356081,0.011635885,0.345021587,0.390427557,1.797142857,0.963026829,1,4,6.069593143,3.900094211,2,16,4.897013716,2.6300472,2.590032371,11.22152513,0.672379216,0.017097562,0.638998804,0.705697411,2.0442466,0.043561398,1.961555926,2.131536535,4.087332593,0.129609217,3.841941921,4.347554055,0.673552872,0.61811459,0.726903873,0.159552872,0.10411459,0.212903873
"Wood mouse, Apodemus sylvaticus",4.7,1.7,0.643,0.405618764,0.013237986,0.379679076,0.431371542,1.989285714,1.080621471,1,5,6.180758571,3.823902661,2,16,4.909562189,2.673238751,2.34637054,12.10196214,0.695214086,0.018176566,0.658919593,0.729897727,2.087807775,0.047380907,1.996070968,2.181034088,4.195604312,0.137330538,3.940918287,4.477465602,0.665025846,0.60948892,0.718601255,0.022025846,-0.03351108,0.075601255
"Ural field mouse, Apodemus uralensis",5,1.4,0.435,0.354505386,0.009878104,0.335368403,0.373822887,1.784782609,0.955184446,1,4,6.18218413,4.028604094,2,16,5.038489126,2.701230654,2.698875405,11.53758341,0.653295573,0.014901992,0.624039796,0.682030534,1.996469948,0.036345733,1.926717044,2.068219637,3.952237512,0.110387798,3.745089049,4.174513725,0.673552872,0.61811459,0.726903873,0.238552872,0.18311459,0.291903873
"Natal multimammate mouse, Mastomys natalensis",9.9,1.9,0.67,0.226793083,0.007021791,0.213031364,0.240721243,2.194444444,1.181323444,1,5,10.56288278,7.541044202,2,30,9.685266119,5.224963671,4.224103901,22.47041013,0.752807444,0.014197457,0.724167032,0.780151969,2.436482154,0.056808407,2.326082394,2.550066249,8.385724083,0.260067758,7.892946935,8.918874515,0.723281667,0.690749991,0.754577738,0.053281667,0.020749991,0.084577738
"House mouse, Mus musculus",5.6,1.2,0.203,0.343340439,0.002837932,0.337697412,0.348887533,1.671280277,0.851564061,1,4,5.984098945,3.89007341,2,16,4.868038527,2.480813109,2.872870262,11.63124176,0.614005412,0.079218036,0.528047973,0.700236577,1.91868025,0.205817687,1.700718342,2.144338568,3.786588146,0.292970845,3.44810235,4.133631512,0.689015095,0.635977699,0.739880606,0.486015095,0.432977699,0.536880606
"House mouse, Mus musculus",4.1,1.4,0.336,0.343340439,0.002837932,0.337697412,0.348887533,1.671280277,0.851564061,1,4,5.984098945,3.89007341,2,16,4.868038527,2.480813109,2.872870262,11.63124176,0.614005412,0.079218036,0.528047973,0.700236577,1.91868025,0.205817687,1.700718342,2.144338568,3.786588146,0.292970845,3.44810235,4.133631512,0.648023158,0.594297371,0.700104461,0.312023158,0.258297371,0.364104461
"Red squirrel, Tamiasciurus hudsonicus",3,2,0.727,0.575217768,0.013146864,0.54912604,0.600615636,1.836363636,1.022717288,1,4.024999999,4.660146364,2.689497801,2,11,3.194138445,1.78086754,1.675830131,7.620984996,0.662727864,0.01576017,0.631316494,0.693036119,1.869127689,0.028304689,1.813607912,1.924443482,3.478764643,0.079708102,3.329916639,3.642151082,0.584475093,0.530912982,0.637795062,-0.142524907,-0.196087018,-0.089204938
"Alpine marmot, Marmota marmota",3.5,1.3,0.265,0.445775691,0.009936049,0.426211439,0.465074291,1.625,0.818333194,1,4,4.878185735,2.899240472,2,12,3.647144427,1.838923919,2.161666913,8.841616317,0.59140377,0.012922247,0.56584843,0.616392561,1.786797262,0.02355561,1.740851242,1.832961499,2.917715542,0.065120994,2.795252342,3.050129303,0.619344087,0.565466737,0.672245726,0.354344087,0.300466737,0.407245726
"Columbian ground squirrel, Urocitellus columbianus",3,1.8,0.578,0.551440677,0.00475781,0.541953132,0.560740726,1.711363636,0.872682895,1,4,4.484028807,2.480017649,2,11,3.103672183,1.582954384,1.788088428,7.252791292,0.61309999,0.021783256,0.582620557,0.643497006,1.772752838,0.04667546,1.712442845,1.83473878,3.355098482,0.09519674,3.218900975,3.495565584,0.584475093,0.530912982,0.637795062,0.006475093,-0.047087018,0.059795062
"Columbian ground squirrel, Urocitellus columbianus",2.8,1.9,0.724,0.551440677,0.00475781,0.541953132,0.560740726,1.711363636,0.872682895,1,4,4.484028807,2.480017649,2,11,3.103672183,1.582954384,1.788088428,7.252791292,0.61309999,0.021783256,0.582620557,0.643497006,1.772752838,0.04667546,1.712442845,1.83473878,3.355098482,0.09519674,3.218900975,3.495565584,0.561613301,0.509857097,0.613423055,-0.162386699,-0.214142903,-0.110576945
"Pronghorn, Antilocapra smericana",2,1.4,0.44,0.573761719,0.020251279,0.534166856,0.613405612,1.396,0.612522775,1,3,3.6690696,1.900402093,2,9,2.436107349,1.073035634,1.639635477,5.27334714,0.402573103,0.019928166,0.364411774,0.442382875,1.402573103,0.019928166,1.364411774,1.442382875,2.443087599,0.086536544,2.282339732,2.620903908,0.429716182,0.392753864,0.467779365,-0.010283818,-0.047246136,0.027779365
"Mouflon, Ovis aries",2,1.7,0.738,0.636825813,0.011110944,0.614638308,0.65843421,1.505,0.738224267,1,3,3.696522375,1.946160818,2,9,2.364004196,1.160491024,1.524440292,4.818392993,0.467261375,0.011957061,0.443666309,0.490795319,1.467261375,0.011957061,1.443666309,1.490795319,2.670303743,0.046671293,2.581882859,2.765854288,0.429716182,0.392753864,0.467779365,-0.308283818,-0.345246136,-0.270220635
